ID,Name,Topic,Topic ID,Modul,Modul ID,Prüfung,Prüfung ID,Anzahl Karten
9ff68926-ed64-4e00-8e90-11ee0b9e368d,Datenschutzprinzipien,Datenschutz,aa8aa628-3197-4546-a3a7-f5672667a492,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
4d784de8-400c-48a0-b928-c7f362d87815,Datensicherung (Backup),Datenschutz,aa8aa628-3197-4546-a3a7-f5672667a492,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
c2712d8f-7827-40fc-9a14-4e100f5bb135,Deep Learning,Künstliche Intelligenz,70987d36-a722-4a78-89c0-dbf353b7be9f,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
7598b43c-6956-4064-b3b7-4a21f75b2a1d,Dienstvertrag,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
e8d1d5e1-1c6c-483c-8ec1-e0496b66e5d4,Digitales Zertifikat,IT-Sicherheit,2b58371d-a02b-4c32-8abe-4e52d056c9ae,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
9a2ef161-29e7-4a05-88d9-a76193e03152,Digitalisierung,Allgemein,cdf42189-4df2-4851-b8cc-b22ccb223fce,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
7e7251b0-730f-48b6-bb08-299b6fb8b6cd,Diversity,WiSo Digitale Zusammenarbeit,be3d5f50-4202-4cb7-8f16-fd4bc2647357,WiSo,c37a55d3-e981-4730-a048-cfc44e0e5e34,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
deab06a7-f192-40b5-bee6-0c99d32d186c,Docker,Cloud & Virtualisierung,bd7ceeb4-f280-4e41-bddc-fe7bb6484977,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
5719fa1b-9f51-41e1-89a7-506264b92a38,Dockingstation,Hardware,0d79adb0-f1e2-4dc5-9424-45fe7d8c1107,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
7a8b17a4-7583-4570-b73b-13a307a3393d,Drittlandübermittlung,Datenschutz,aa8aa628-3197-4546-a3a7-f5672667a492,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
5791907c-9227-403a-a856-986672fdbf19,Dual Channel,Hardware,0d79adb0-f1e2-4dc5-9424-45fe7d8c1107,Fachbegriffe AP1,9c379323-eb36-4ce4-b932-da3fb736ba95,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
101ee17f-9ec9-4f42-8873-47f9a4da2f51,Duales System,WiSo Ausbildung & Arbeitsrecht,7960bf09-90ed-4641-86b0-924328cb93a5,WiSo,c37a55d3-e981-4730-a048-cfc44e0e5e34,IHK AP1 – Anwendungsentwicklung / Systemintegration,88f401ab-5cfb-4c55-ad2c-40fa24ff4bc9,1
